model,row_type,n,pehe,corr_pred_true_cate,mean_predicted_cate,mean_true_cate,segment,bias,segment_pehe
T-learner,overall,8000.0,0.003666531060353133,0.8467325664407934,0.009956833141952767,0.003053935068344912,ALL,,
CausalForestDML,overall,8000.0,0.001506507416869397,0.9268985493550277,0.009963632631100762,0.003053935068344912,ALL,,
T-learner,per_segment,1574.0,,,0.17605022650629693,0.1747079176850777,Persuadables,0.001342308821219218,0.006474948009144337
T-learner,per_segment,2391.0,,,0.012129255276134105,-0.00014709129161961105,Sure Things,0.012276346567753716,0.0035961278300384375
T-learner,per_segment,2027.0,,,0.0006517081234923645,5.852166629971564e-05,Lost Causes,0.0005931864571926489,0.0020243549447147456
T-learner,per_segment,2008.0,,,-0.11343150055619763,-0.12466419822155379,Sleeping Dogs,0.011232697665356159,0.0032066589650762856
CausalForestDML,per_segment,1574.0,,,0.14738687927655875,0.1747079176850777,Persuadables,-0.02732103840851896,0.002783958431526164
CausalForestDML,per_segment,2391.0,,,0.019405199214766,-0.00014709129161961105,Sure Things,0.019552290506385614,0.0008694405654698884
CausalForestDML,per_segment,2027.0,,,-0.0027209001295196446,5.852166629971564e-05,Lost Causes,-0.0027794217958193603,0.0007821130768279325
CausalForestDML,per_segment,2008.0,,,-0.09619544506596943,-0.12466419822155379,Sleeping Dogs,0.028468753155584364,0.0019949866359383825
